Source,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,e_pmRA,e_pmDE,Gmag,BPmag,RPmag
4689647066506672128,6.57421552726,-71.92388617776,-0.0254,5.415,-1.996,0.307,0.359,19.555565,20.044720,19.032854
4689647066506672256,6.58783138930,-71.92638944018,0.0362,5.392,-2.806,0.250,0.261,19.177307,19.624054,18.665611
4689647066506675840,6.57531708909,-71.93219004578,2.9321,20.458,-30.527,0.244,0.455,18.844051,,
4689647066506758656,6.61618326850,-71.92163724397,-0.0060,4.713,-2.286,0.409,0.440,19.905315,20.476563,19.443985
4689647066506793088,6.60553793616,-71.91935323614,0.2706,5.726,-2.155,0.583,0.698,20.247587,20.985281,19.726322
4689647066506793216,6.60849104964,-71.92808577306,0.3073,5.360,-2.478,0.515,0.640,20.152596,20.628433,19.708454
4689647066506793600,6.59397096680,-71.92816099633,0.1089,4.651,-2.792,0.535,0.623,20.089348,20.711460,19.457220
4689647066506793856,6.57591176977,-71.92603602627,0.4277,4.574,-2.387,0.564,0.853,20.202011,20.251583,18.928116
4689647066506806656,6.59030370133,-71.92790922622,0.3114,6.157,-2.645,0.632,0.743,20.271128,20.922235,19.629967
4689647096560116224,6.53151108985,-71.92959411852,-0.0449,5.194,-2.912,0.317,0.353,19.514322,20.064820,19.038591
4689647096560118016,6.52177360417,-71.92612812964,-0.2630,5.577,-2.399,0.283,0.310,19.436253,19.987507,18.861640
4689647096560118656,6.53624649489,-71.92470266130,-0.2392,5.164,-2.295,0.377,0.492,19.746035,20.389591,19.152924
4689647096560230016,6.56262060859,-71.92309746774,0.1292,4.830,-2.639,0.247,0.273,19.255900,19.681640,18.718680
4689647096560232448,6.54762346858,-71.91898521693,0.2031,5.184,-2.848,0.225,0.227,18.986610,19.389133,18.473772
4689647096560329472,6.55913628472,-71.91918809193,0.8681,5.867,-1.644,0.580,0.723,20.188284,20.601673,19.289042
4689647096560613760,6.55495666423,-71.92333466282,-0.6165,5.517,-3.245,1.347,1.414,20.686012,21.269815,19.836140
4689647096560614656,6.56094851592,-71.92143706750,1.2112,3.933,-2.177,0.826,1.013,20.505917,21.159634,19.728024
4689647096561075072,6.53590398898,-71.92711170000,0.2280,5.039,-2.338,0.083,0.102,17.523262,17.857859,17.060898
4689647096561085952,6.52951255701,-71.92277712647,-0.8866,6.796,-1.167,1.822,1.480,20.800730,,
4689647096561088896,6.54183202442,-71.91952231759,0.1474,5.094,-2.119,0.158,0.171,18.295523,18.636053,17.828089
